x,y,id,start,end,size
1350,600,17,7.45,9.55,0.280
1325,500,17,7.45,9.55,0.280
1325,400,17,7.45,9.55,0.280
500,200,17,7.45,9.55,0.280
525,400,17,7.45,9.55,0.280
525,500,17,7.45,9.55,0.280
500,600,17,7.45,9.55,0.280
650,600,18,13.62,16.86,0.114
675,500,18,13.62,16.86,0.114
525,400,18,13.62,16.86,0.114
500,200,18,13.62,16.86,0.114
1325,400,18,13.62,16.86,0.114
1475,500,18,13.62,16.86,0.114
1500,600,18,13.62,16.86,0.114
650,600,19,3.79,6.15,0.397
675,500,19,3.79,6.15,0.397
525,400,19,3.79,6.15,0.397
500,200,19,3.79,6.15,0.397
925,400,19,3.79,6.15,0.397
1075,500,19,3.79,6.15,0.397
1050,600,19,3.79,6.15,0.397
700,600,20,2.77,5.37,0.235
675,500,20,2.77,5.37,0.235
525,400,20,2.77,5.37,0.235
500,200,20,2.77,5.37,0.235
125,400,20,2.77,5.37,0.235
275,500,20,2.77,5.37,0.235
250,600,20,2.77,5.37,0.235
1450,600,21,10.42,11.96,0.122
1475,500,21,10.42,11.96,0.122
1325,400,21,10.42,11.96,0.122
500,200,21,10.42,11.96,0.122
925,400,21,10.42,11.96,0.122
1075,500,21,10.42,11.96,0.122
1100,600,21,10.42,11.96,0.122
1300,600,22,12.31,15.04,0.126
1325,500,22,12.31,15.04,0.126
1475,400,22,12.31,15.04,0.126
900,200,22,12.31,15.04,0.126
675,400,22,12.31,15.04,0.126
525,500,22,12.31,15.04,0.126
500,600,22,12.31,15.04,0.126
1450,600,23,15.33,20.31,0.158
1475,500,23,15.33,20.31,0.158
1325,400,23,15.33,20.31,0.158
500,200,23,15.33,20.31,0.158
125,400,23,15.33,20.31,0.158
125,500,23,15.33,20.31,0.158
150,600,23,15.33,20.31,0.158
1450,600,24,18.99,23.37,0.174
1475,500,24,18.99,23.37,0.174
1325,400,24,18.99,23.37,0.174
500,200,24,18.99,23.37,0.174
525,400,24,18.99,23.37,0.174
675,500,24,18.99,23.37,0.174
700,600,24,18.99,23.37,0.174
1050,600,25,13.82,16.39,0.102
1075,500,25,13.82,16.39,0.102
1075,400,25,13.82,16.39,0.102
900,200,25,13.82,16.39,0.102
675,400,25,13.82,16.39,0.102
675,500,25,13.82,16.39,0.102
650,600,25,13.82,16.39,0.102
1450,600,26,18.12,21.19,0.147
1475,500,26,18.12,21.19,0.147
1325,400,26,18.12,21.19,0.147
700,200,26,18.12,21.19,0.147
125,400,26,18.12,21.19,0.147
125,500,26,18.12,21.19,0.147
150,600,26,18.12,21.19,0.147
1500,600,27,3.93,6.93,0.278
1475,500,27,3.93,6.93,0.278
1475,400,27,3.93,6.93,0.278
1100,200,27,3.93,6.93,0.278
1075,400,27,3.93,6.93,0.278
925,500,27,3.93,6.93,0.278
950,600,27,3.93,6.93,0.278
100,600,28,14.21,19.35,0.299
125,500,28,14.21,19.35,0.299
125,400,28,14.21,19.35,0.299
500,200,28,14.21,19.35,0.299
525,400,28,14.21,19.35,0.299
525,500,28,14.21,19.35,0.299
550,600,28,14.21,19.35,0.299
550,600,29,13.86,18.50,0.223
525,500,29,13.86,18.50,0.223
525,400,29,13.86,18.50,0.223
700,200,29,13.86,18.50,0.223
1325,400,29,13.86,18.50,0.223
1475,500,29,13.86,18.50,0.223
1450,600,29,13.86,18.50,0.223
500,600,30,14.84,19.33,0.255
525,500,30,14.84,19.33,0.255
525,400,30,14.84,19.33,0.255
500,200,30,14.84,19.33,0.255
125,400,30,14.84,19.33,0.255
275,500,30,14.84,19.33,0.255
250,600,30,14.84,19.33,0.255
1500,600,31,17.85,23.62,0.118
1475,500,31,17.85,23.62,0.118
1325,400,31,17.85,23.62,0.118
700,200,31,17.85,23.62,0.118
125,400,31,17.85,23.62,0.118
275,500,31,17.85,23.62,0.118
300,600,31,17.85,23.62,0.118
650,600,32,11.41,17.38,0.304
675,500,32,11.41,17.38,0.304
675,400,32,11.41,17.38,0.304
1100,200,32,11.41,17.38,0.304
275,400,32,11.41,17.38,0.304
125,500,32,11.41,17.38,0.304
100,600,32,11.41,17.38,0.304
650,600,33,10.93,14.55,0.130
675,500,33,10.93,14.55,0.130
675,400,33,10.93,14.55,0.130
900,200,33,10.93,14.55,0.130
275,400,33,10.93,14.55,0.130
125,500,33,10.93,14.55,0.130
100,600,33,10.93,14.55,0.130
1500,600,34,15.55,16.95,0.187
1475,500,34,15.55,16.95,0.187
1475,400,34,15.55,16.95,0.187
1100,200,34,15.55,16.95,0.187
675,400,34,15.55,16.95,0.187
525,500,34,15.55,16.95,0.187
550,600,34,15.55,16.95,0.187
1350,600,35,19.68,23.76,0.374
1325,500,35,19.68,23.76,0.374
1325,400,35,19.68,23.76,0.374
500,200,35,19.68,23.76,0.374
925,400,35,19.68,23.76,0.374
925,500,35,19.68,23.76,0.374
950,600,35,19.68,23.76,0.374
250,600,36,7.34,11.30,0.150
275,500,36,7.34,11.30,0.150
125,400,36,7.34,11.30,0.150
500,200,36,7.34,11.30,0.150
925,400,36,7.34,11.30,0.150
925,500,36,7.34,11.30,0.150
950,600,36,7.34,11.30,0.150
250,600,37,3.44,5.35,0.201
275,500,37,3.44,5.35,0.201
125,400,37,3.44,5.35,0.201
500,200,37,3.44,5.35,0.201
925,400,37,3.44,5.35,0.201
1075,500,37,3.44,5.35,0.201
1050,600,37,3.44,5.35,0.201
500,600,38,19.79,22.68,0.177
525,500,38,19.79,22.68,0.177
675,400,38,19.79,22.68,0.177
900,200,38,19.79,22.68,0.177
1075,400,38,19.79,22.68,0.177
1075,500,38,19.79,22.68,0.177
1100,600,38,19.79,22.68,0.177
150,600,39,18.50,21.10,0.119
125,500,39,18.50,21.10,0.119
125,400,39,18.50,21.10,0.119
500,200,39,18.50,21.10,0.119
1325,400,39,18.50,21.10,0.119
1325,500,39,18.50,21.10,0.119
1300,600,39,18.50,21.10,0.119
550,600,40,2.99,6.87,0.338
525,500,40,2.99,6.87,0.338
675,400,40,2.99,6.87,0.338
900,200,40,2.99,6.87,0.338
1475,400,40,2.99,6.87,0.338
1475,500,40,2.99,6.87,0.338
1500,600,40,2.99,6.87,0.338
100,600,41,6.18,11.73,0.363
125,500,41,6.18,11.73,0.363
125,400,41,6.18,11.73,0.363
500,200,41,6.18,11.73,0.363
1325,400,41,6.18,11.73,0.363
1325,500,41,6.18,11.73,0.363
1350,600,41,6.18,11.73,0.363
1100,600,42,16.64,19.59,0.302
1075,500,42,16.64,19.59,0.302
1075,400,42,16.64,19.59,0.302
1100,200,42,16.64,19.59,0.302
1475,400,42,16.64,19.59,0.302
1475,500,42,16.64,19.59,0.302
1500,600,42,16.64,19.59,0.302
550,600,43,16.59,21.69,0.294
525,500,43,16.59,21.69,0.294
525,400,43,16.59,21.69,0.294
700,200,43,16.59,21.69,0.294
125,400,43,16.59,21.69,0.294
125,500,43,16.59,21.69,0.294
100,600,43,16.59,21.69,0.294
1500,600,44,6.58,11.97,0.190
1475,500,44,6.58,11.97,0.190
1325,400,44,6.58,11.97,0.190
700,200,44,6.58,11.97,0.190
125,400,44,6.58,11.97,0.190
125,500,44,6.58,11.97,0.190
100,600,44,6.58,11.97,0.190
300,600,45,6.35,10.86,0.162
275,500,45,6.35,10.86,0.162
275,400,45,6.35,10.86,0.162
1100,200,45,6.35,10.86,0.162
1075,400,45,6.35,10.86,0.162
925,500,45,6.35,10.86,0.162
900,600,45,6.35,10.86,0.162
100,600,46,3.82,7.26,0.284
125,500,46,3.82,7.26,0.284
125,400,46,3.82,7.26,0.284
700,200,46,3.82,7.26,0.284
525,400,46,3.82,7.26,0.284
675,500,46,3.82,7.26,0.284
650,600,46,3.82,7.26,0.284
250,600,47,4.11,6.51,0.282
275,500,47,4.11,6.51,0.282
125,400,47,4.11,6.51,0.282
500,200,47,4.11,6.51,0.282
1325,400,47,4.11,6.51,0.282
1325,500,47,4.11,6.51,0.282
1350,600,47,4.11,6.51,0.282
1350,600,48,7.60,12.50,0.329
1325,500,48,7.60,12.50,0.329
1475,400,48,7.60,12.50,0.329
1100,200,48,7.60,12.50,0.329
1075,400,48,7.60,12.50,0.329
1075,500,48,7.60,12.50,0.329
1050,600,48,7.60,12.50,0.329
950,600,49,13.87,17.16,0.132
925,500,49,13.87,17.16,0.132
925,400,49,13.87,17.16,0.132
500,200,49,13.87,17.16,0.132
1325,400,49,13.87,17.16,0.132
1475,500,49,13.87,17.16,0.132
1450,600,49,13.87,17.16,0.132
